timestamp,src_dpid,dst_dpid,baseline_path,fplf_path,traffic_type,priority,base_weights,adjusted_weights,route_changed
2025-11-20 15:47:55,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93312911987306],[525.1913688659668],NO
2025-11-20 15:47:55,2,1,s2 -> s1,s2 -> s1,VIDEO,4,[498.93312911987306],[525.1913688659668],NO
2025-11-20 15:47:55,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:47:55,1,1,s1,s1,VIDEO,4,[],[],NO
2025-11-20 15:48:00,2,1,s2 -> s1,s2 -> s3 -> s1,SSH,3,"[498.93285049438475, 498.93262214660643]","[511.7833448791504, 511.55476875305175]",YES
2025-11-20 15:48:05,2,2,s2,s2,FTP,1,[],[],NO
2025-11-20 15:48:05,2,1,s2 -> s1,s2 -> s3 -> s1,FTP,1,"[498.983111038208, 498.98293800354]","[505.2942148590088, 505.27673835754393]",YES
2025-11-20 15:48:05,2,2,s2,s2,FTP,1,[],[],NO
2025-11-20 15:48:05,2,1,s2 -> s1,s2 -> s3 -> s1,FTP,1,"[498.983111038208, 498.98293800354]","[505.2942148590088, 505.27673835754393]",YES
2025-11-20 15:48:05,2,1,s2 -> s1,s2 -> s3 -> s1,SSH,3,"[498.983111038208, 498.98293800354]","[562.0941492462158, 561.9209415435791]",YES


