timestamp,edge,weight,utilization
2025-11-20 15:41:26,"(1,2)",498.9331127166748,0.0131
2025-11-20 15:41:26,"(1,3)",498.933102722168,0.0131
2025-11-20 15:41:26,"(2,3)",498.93315940856934,0.0132
2025-11-20 15:41:30,"(1,2)",498.93303207397463,0.0130
2025-11-20 15:41:30,"(1,3)",498.9329637145996,0.0130
2025-11-20 15:41:30,"(2,3)",498.9330521392822,0.0131
2025-11-20 15:41:33,"(1,2)",498.9332624053955,0.0133
2025-11-20 15:41:33,"(1,3)",498.9332385253906,0.0132
2025-11-20 15:41:33,"(2,3)",498.9331958007813,0.0132
2025-11-20 15:41:36,"(1,2)",498.93316528320315,0.0132
2025-11-20 15:41:36,"(1,3)",498.93317176818846,0.0132
2025-11-20 15:41:36,"(2,3)",498.933048248291,0.0130
2025-11-20 15:41:40,"(1,2)",498.9332731628418,0.0133
2025-11-20 15:41:40,"(1,3)",498.93312553405764,0.0131
2025-11-20 15:41:40,"(2,3)",498.93330528259276,0.0133
2025-11-20 15:41:43,"(1,2)",498.93299057006834,0.0130
2025-11-20 15:41:43,"(1,3)",498.9328670501709,0.0129
2025-11-20 15:41:43,"(2,3)",498.93303253173826,0.0130
2025-11-20 15:41:46,"(1,2)",498.93310081481934,0.0131
2025-11-20 15:41:46,"(1,3)",498.9331285095215,0.0131
2025-11-20 15:41:46,"(2,3)",498.9330918121338,0.0131
2025-11-20 15:41:50,"(1,2)",498.93309600830077,0.0131
2025-11-20 15:41:50,"(1,3)",498.93326034545896,0.0133
2025-11-20 15:41:50,"(2,3)",498.93314811706546,0.0131
2025-11-20 15:41:53,"(1,2)",498.9330084991455,0.0130
2025-11-20 15:41:53,"(1,3)",498.93295143127443,0.0130
2025-11-20 15:41:53,"(2,3)",498.93299293518066,0.0130
2025-11-20 15:41:56,"(1,2)",498.9331716156006,0.0132
2025-11-20 15:41:56,"(1,3)",498.93306022644043,0.0131
2025-11-20 15:41:56,"(2,3)",498.933064956665,0.0131
2025-11-20 15:42:00,"(1,2)",498.93310340881345,0.0131
2025-11-20 15:42:00,"(1,3)",498.93303924560547,0.0130
2025-11-20 15:42:00,"(2,3)",498.9330922698975,0.0131
2025-11-20 15:42:03,"(1,2)",498.93307205200193,0.0131
2025-11-20 15:42:03,"(1,3)",498.93303260803225,0.0130
2025-11-20 15:42:03,"(2,3)",498.9330381011963,0.0130
2025-11-20 15:42:06,"(1,2)",498.93263092041013,0.0126
2025-11-20 15:42:06,"(1,3)",498.93281784057615,0.0128
2025-11-20 15:42:06,"(2,3)",498.9328186035156,0.0128
2025-11-20 15:42:10,"(1,2)",498.9332048034668,0.0132
2025-11-20 15:42:10,"(1,3)",498.9332029724121,0.0132
2025-11-20 15:42:10,"(2,3)",498.933145904541,0.0131
2025-11-20 15:42:13,"(1,2)",498.93297004699707,0.0130
2025-11-20 15:42:13,"(1,3)",498.9328155517578,0.0128
2025-11-20 15:42:13,"(2,3)",498.9327159881592,0.0127
2025-11-20 15:42:16,"(1,2)",498.932760925293,0.0128
2025-11-20 15:42:16,"(1,3)",498.93284790039064,0.0128
2025-11-20 15:42:16,"(2,3)",498.93291091918945,0.0129
2025-11-20 15:42:20,"(1,2)",498.93196731567383,0.0120
2025-11-20 15:42:20,"(1,3)",498.93218154907225,0.0122
2025-11-20 15:42:20,"(2,3)",498.93212608337404,0.0121
2025-11-20 15:42:23,"(1,2)",498.93293731689454,0.0129
2025-11-20 15:42:23,"(1,3)",498.9332077026367,0.0132
2025-11-20 15:42:23,"(2,3)",498.9327775573731,0.0128
2025-11-20 15:42:26,"(1,2)",498.9330753326416,0.0131
2025-11-20 15:42:26,"(1,3)",498.93296699523927,0.0130
2025-11-20 15:42:26,"(2,3)",498.9328830718994,0.0129
2025-11-20 15:42:30,"(1,2)",498.93315956115725,0.0132
2025-11-20 15:42:30,"(1,3)",498.9329569244385,0.0130
2025-11-20 15:42:30,"(2,3)",498.9329972076416,0.0130
2025-11-20 15:42:34,"(1,2)",498.93222663879396,0.0122
2025-11-20 15:42:34,"(1,3)",498.93212738037107,0.0121
2025-11-20 15:42:34,"(2,3)",498.931227722168,0.0112
2025-11-20 15:42:37,"(1,2)",498.9323429107666,0.0123
2025-11-20 15:42:37,"(1,3)",498.9324388885498,0.0124
2025-11-20 15:42:37,"(2,3)",498.932423248291,0.0124
2025-11-20 15:42:40,"(1,2)",498.93229248046873,0.0123
2025-11-20 15:42:40,"(1,3)",498.93234283447265,0.0123
2025-11-20 15:42:40,"(2,3)",498.9322178649902,0.0122
2025-11-20 15:42:44,"(1,2)",498.9312496185303,0.0112
2025-11-20 15:42:44,"(1,3)",498.9312479400635,0.0112
2025-11-20 15:42:44,"(2,3)",498.9319090270996,0.0119
2025-11-20 15:42:47,"(1,2)",498.9325602722168,0.0126
2025-11-20 15:42:47,"(1,3)",498.93262001037596,0.0126
2025-11-20 15:42:47,"(2,3)",498.93262222290036,0.0126
2025-11-20 15:42:51,"(1,2)",498.9320068359375,0.0120
2025-11-20 15:42:51,"(1,3)",498.9318977355957,0.0119
2025-11-20 15:42:51,"(2,3)",498.9319337463379,0.0119
2025-11-20 15:42:54,"(1,2)",498.9317777252197,0.0118
2025-11-20 15:42:54,"(1,3)",498.9318795013428,0.0119
